id,video_id,genres_id,status,created_at,modified_at
4,a411d552-c56f-48bc-aa4e-f08ce17f9c9d,5,0,2025-10-13 10:52:40,2025-10-16 08:13:17
5,9390504f-43ba-48c7-9b0c-096315148fbb,5,0,2025-10-14 11:15:04,2025-10-16 08:13:17
6,a1446f45-9a08-44c1-bfb2-41210061f747,5,0,2025-10-14 12:45:28,2025-10-16 08:13:17
7,3026378c-8a96-40fa-891b-1a72f23712dd,5,0,2025-10-14 13:26:30,2025-10-16 08:13:17
8,e4c595b3-8e11-4968-822d-bf3e9a85b474,5,0,2025-10-14 14:09:08,2025-10-16 08:13:17
9,d19c43f5-6b4f-4721-9e12-c7958d1daafa,5,0,2025-10-14 14:27:50,2025-10-16 08:13:17
10,b38fc051-d08b-4ac3-9d09-b2490279430c,5,0,2025-10-16 07:54:30,2025-10-16 08:13:17
11,29a79b8e-6445-49d7-bb54-d750cbac6541,5,0,2025-10-16 07:56:31,2025-10-16 08:13:17
12,ed80a587-79e6-4d03-8bc8-141a908f5316,0,0,2025-10-16 10:29:59,2025-10-16 10:30:37
13,a7354d2d-9cb9-4532-b150-563d09819b43,0,0,2025-10-24 14:24:45,2025-10-24 14:24:45
14,fb785cba-30a4-40bf-9c57-7df4e05a15e2,0,0,2025-10-24 14:31:54,2025-10-24 14:31:54
15,5fc3f4fc-f9ec-43ec-94f0-c0cb0955e0ed,0,0,2025-10-24 14:54:01,2025-10-24 14:54:01
16,543b98fb-6d8c-472a-a77a-807902109a20,0,0,2025-10-24 15:21:46,2025-10-24 15:21:46
17,fc8dbac5-82d5-4429-a359-e76040249280,0,0,2025-10-24 15:27:04,2025-10-24 15:27:04
18,975f0a9d-be96-487d-95d2-98aa3e991821,0,0,2025-10-24 15:38:50,2025-10-24 15:38:50
19,b111f1c3-3435-4047-8858-5da663f40763,0,0,2025-10-24 15:45:51,2025-10-24 15:45:51
20,4c4112cc-97fc-4647-aea9-8ca398743299,0,0,2025-10-24 15:55:56,2025-10-24 15:55:56
21,2c5216a1-9f8c-4642-89c1-9c917d9e64f9,0,0,2025-10-25 10:05:17,2025-10-25 10:05:17
22,31e6e7f1-774a-4c24-9c70-38e21220d6d5,0,0,2025-10-25 10:10:59,2025-10-25 10:10:59
23,a860e4cd-8b80-4da1-b6fe-152c52995b54,0,0,2025-10-25 10:14:22,2025-10-25 10:14:22
24,59bb7dab-cf98-439f-8c46-f7f98b3849bc,0,0,2025-10-25 10:22:45,2025-10-25 10:22:45
25,49ea9260-cd1a-4d27-8e84-d7f1aa670bf2,0,0,2025-10-25 10:26:37,2025-10-25 10:26:37
26,21039366-c6c7-4e47-b945-854f52785735,0,0,2025-10-25 10:39:52,2025-10-25 10:39:52
27,a11f8253-2186-4004-867d-28c71e5aa34c,0,0,2025-10-25 10:47:15,2025-10-25 10:47:15
28,8a9b221f-2a32-4eaa-8744-e4f76338b0ae,0,0,2025-10-25 10:50:21,2025-10-25 10:50:21
29,f9158962-10a0-4dac-a2a8-f7cbc5210311,0,0,2025-10-25 11:06:28,2025-10-25 11:06:28
30,7bbf7de6-3b99-451b-b419-d01934ddbd81,0,0,2025-10-25 11:06:45,2025-10-25 11:06:45
31,54f0a848-6607-4112-9137-a4eb70e35901,0,0,2025-10-25 11:21:36,2025-10-25 11:49:34
32,77503f43-72cf-4fcb-b015-7539140cda16,0,0,2025-10-25 11:29:02,2025-10-25 11:29:02
33,93d6911f-3fc2-420c-b09b-09409583e384,0,0,2025-10-25 13:32:58,2025-10-25 13:32:58
34,287e56ce-90e1-4c53-be07-51bc2885cff1,0,0,2025-10-25 14:27:16,2025-10-25 14:27:16
35,cd4bf981-c940-4e64-9c7b-9d2750301ad2,0,0,2025-10-25 14:46:35,2025-10-25 14:46:35
36,7ac8d20c-3f47-4b7a-b4db-7477ecd815a1,0,0,2025-10-25 15:05:05,2025-10-25 15:05:05
37,05da4994-f026-4324-9741-a297e747aa8f,0,0,2025-10-25 15:23:58,2025-10-25 15:23:58
38,c6eca20d-4e11-4528-a618-7af5db4f0cc3,0,0,2025-10-25 15:51:56,2025-10-25 15:51:56
39,2450c365-fc70-4c4c-b1f5-041107903580,5,0,2025-10-25 16:21:00,2025-10-25 16:21:00
40,bb1297ac-be8f-4d19-923c-d270d4660694,4,0,2025-10-26 07:19:51,2025-10-26 07:19:51
41,43a3f327-8772-41f5-9251-a8a6c337a65c,0,0,2025-10-26 07:20:21,2025-10-26 07:20:21
42,451f6bb1-bffc-442e-99cc-1f6ca0aad702,0,0,2025-10-26 07:22:31,2025-10-26 07:22:31
43,6ad14702-909a-4c6b-9fa5-b1c6c231a735,8,0,2025-10-26 08:28:27,2025-10-26 08:28:27
44,ff9a70b9-865b-44c3-897e-d99e033c2d35,5,0,2025-10-26 09:29:17,2025-10-26 09:29:17
45,187d5960-9df2-4a8d-8c5d-086d0478fd76,0,0,2025-10-26 10:47:37,2025-10-26 10:47:37
46,7104c1d5-8138-400d-9d91-8a2a9cdc774e,4,0,2025-10-26 15:13:48,2025-10-26 15:13:48
47,2e14b769-974f-4b6a-b42b-1eadde7bd536,0,0,2025-10-26 15:51:57,2025-10-26 15:51:57
