id,video_id,category_id,status,created_at,modified_at
19,a411d552-c56f-48bc-aa4e-f08ce17f9c9d,6,0,2025-10-13 10:52:41,2025-10-16 08:12:29
20,9390504f-43ba-48c7-9b0c-096315148fbb,6,0,2025-10-14 11:15:04,2025-10-16 08:12:29
21,a1446f45-9a08-44c1-bfb2-41210061f747,6,0,2025-10-14 12:45:28,2025-10-16 08:12:29
22,3026378c-8a96-40fa-891b-1a72f23712dd,0,0,2025-10-14 13:26:30,2025-11-03 11:09:58
23,e4c595b3-8e11-4968-822d-bf3e9a85b474,6,0,2025-10-14 14:09:08,2025-10-16 08:12:29
24,d19c43f5-6b4f-4721-9e12-c7958d1daafa,6,0,2025-10-14 14:27:50,2025-10-16 08:12:29
25,b38fc051-d08b-4ac3-9d09-b2490279430c,6,0,2025-10-16 07:54:30,2025-10-16 08:12:29
26,29a79b8e-6445-49d7-bb54-d750cbac6541,6,0,2025-10-16 07:56:31,2025-10-16 08:12:29
29,ed80a587-79e6-4d03-8bc8-141a908f5316,0,0,2025-10-16 10:29:59,2025-10-16 10:30:37
30,a7354d2d-9cb9-4532-b150-563d09819b43,0,0,2025-10-24 14:24:45,2025-10-24 14:24:45
31,fb785cba-30a4-40bf-9c57-7df4e05a15e2,0,0,2025-10-24 14:31:54,2025-10-24 14:31:54
32,5fc3f4fc-f9ec-43ec-94f0-c0cb0955e0ed,0,0,2025-10-24 14:54:01,2025-10-24 14:54:01
33,543b98fb-6d8c-472a-a77a-807902109a20,0,0,2025-10-24 15:21:46,2025-10-24 15:21:46
34,fc8dbac5-82d5-4429-a359-e76040249280,0,0,2025-10-24 15:27:04,2025-10-24 15:27:04
35,975f0a9d-be96-487d-95d2-98aa3e991821,0,0,2025-10-24 15:38:50,2025-10-24 15:38:50
36,b111f1c3-3435-4047-8858-5da663f40763,0,0,2025-10-24 15:45:51,2025-10-24 15:45:51
37,4c4112cc-97fc-4647-aea9-8ca398743299,0,0,2025-10-24 15:55:56,2025-10-24 15:55:56
38,2c5216a1-9f8c-4642-89c1-9c917d9e64f9,0,0,2025-10-25 10:05:17,2025-10-25 10:05:17
39,31e6e7f1-774a-4c24-9c70-38e21220d6d5,0,0,2025-10-25 10:10:59,2025-10-25 10:10:59
40,a860e4cd-8b80-4da1-b6fe-152c52995b54,0,0,2025-10-25 10:14:22,2025-10-25 10:14:22
41,59bb7dab-cf98-439f-8c46-f7f98b3849bc,0,0,2025-10-25 10:22:45,2025-10-25 10:22:45
42,49ea9260-cd1a-4d27-8e84-d7f1aa670bf2,0,0,2025-10-25 10:26:37,2025-10-25 10:26:37
43,21039366-c6c7-4e47-b945-854f52785735,0,0,2025-10-25 10:39:52,2025-10-25 10:39:52
44,a11f8253-2186-4004-867d-28c71e5aa34c,0,0,2025-10-25 10:47:15,2025-10-25 10:47:15
