cohort_id,user_count,percentage,dominant_PROFILE_TYPE,dominant_PROFILE_TYPE_percentage,dominant_Location_CITY,dominant_Location_CITY_percentage,dominant_Location_Region_user,dominant_Location_Region_user_percentage,dominant_Location_Country_user,dominant_Location_Country_user_percentage,dominant_Genre_user,dominant_Genre_user_percentage,dominant_Language_user,dominant_Language_user_percentage,dominant_Content_type_user,dominant_Content_type_user_percentage,dominant_Category_user,dominant_Category_user_percentage
930,22,0.02919,Adult,100.0,Bārāmati,9.0909,MH,27.2727,India,95.4545,"Spiritual,Religious,Devotional",86.3636,Hindi,95.4545,Video,100.0,Shows,100.0
931,35,0.046438,Adult,100.0,"Arrah, Navi Mumbai (Reliance Corporate Park)",5.7143,MH,14.2857,India,100.0,"Music & Dance,Reality, Romance,Action,Drama,War, Action,Animation",2.8571,Hindi,57.1429,Video,85.7143,"TV Channels, Movies",25.7143
932,33,0.043785,Adult,100.0,"Srinagar, Hyderabad (Basant Nagar Colony)",51.5152,"JK, TG",54.5455,India,100.0,"News, Music,Arts & Culture, Cultural Stories,Bhajans",3.0303,Hindi,54.5455,Video,75.7576,TV Channels,36.3636
933,34,0.045111,Adult,100.0,Patna (Police Colony),94.1176,BR,97.0588,India,100.0,"Drama,Survival,Entertainment,Literature",38.2353,Hindi,41.1765,Video,100.0,Movies,88.2353
934,7,0.009288,Adult,100.0,Lucknow,42.8571,UP,85.7143,India,100.0,"News, News,Event,Parliament",85.7143,Hindi,57.1429,Video,100.0,TV Channels,100.0
935,13,0.017248,Adult,100.0,Gurugram,84.6154,HR,100.0,India,100.0,"Romance,Drama,Literature, Drama,Music",7.6923,Hindi,76.9231,Video,100.0,Shows,61.5385
936,22,0.02919,Adult,100.0,Vadodara,36.3636,GJ,77.2727,India,100.0,"News, Arts & Culture, Entertainment,Movies, Music, Music,Biography,Drama",4.5455,Hindi,59.0909,Video,81.8182,TV Channels,22.7273
937,26,0.034497,Adult,100.0,Durg,100.0,CT,100.0,India,100.0,"Mystery,Drama,Crime,Comedy, Drama,Kids & Family",3.8462,Hindi,53.8462,Video,96.1538,"TV Channels, Movies",30.7692
938,16,0.021229,Adult,100.0,Kharakvasla,25.0,MH,25.0,India,100.0,Drama,31.25,Hindi,62.5,Video,100.0,Movies,100.0
939,9,0.011941,Adult,88.8889,Bhiwandi,100.0,MH,100.0,India,100.0,"Talk Show, Political, Drama,Survival,Entertainment,Literature",11.1111,Hindi,77.7778,Video,100.0,"Movies, Shows",33.3333
940,12,0.015922,Adult,100.0,Tamlūk,25.0,WB,25.0,India,100.0,"Entertainment,Movies",33.3333,Hindi,75.0,Video,100.0,TV Channels,100.0
941,52,0.068994,Adult,100.0,Pitampura,88.4615,DL,98.0769,India,100.0,"Entertainment,Educational,Infotainment",19.2308,Hindi,90.3846,Video,98.0769,TV Channels,80.7692
942,6,0.007961,Adult,83.3333,"Orai, Hyderabad (Gachibowli)",33.3333,"UP, TG",33.3333,India,100.0,"Entertainment,Educational,Infotainment",33.3333,Hindi,50.0,Video,100.0,TV Channels,50.0
943,12,0.015922,Adult,100.0,Ahmedabad,50.0,GJ,100.0,India,100.0,"Music,Biography,Drama",58.3333,NC,100.0,Video,100.0,Movies,83.3333
944,19,0.025209,Child,100.0,Mancherial,10.5263,MH,26.3158,India,94.7368,"Mystery,Thriller,Drama, Mystery,Thriller",5.2632,Hindi,47.3684,Video,94.7368,Movies,36.8421
945,1,0.001327,Adult,100.0,Navi Mumbai (Reliance Corporate Park),100.0,MH,100.0,India,100.0,News,100.0,Hindi,100.0,Video,100.0,TV Channels,100.0
946,36,0.047765,Adult,100.0,Pune,97.2222,MH,100.0,India,100.0,"Romance,Drama",27.7778,NC,94.4444,Video,100.0,Movies,94.4444
947,7,0.009288,Adult,100.0,"Ajmer, Patna (Police Colony), Pilibangan, Dariba, Sri Ganganagar, Mumbai, Jaipur, Kota",14.2857,"RJ, MH",28.5714,India,100.0,"Action,Drama,Thriller,Crime, Kids & Family,Action,Entertainment, Entertainment,Movies, Comedy,Drama,Thriller,Stealth,Entertainment, Drama,Inspirational,Entertainment, Biography,History, Period Drama,History,Inspirational,Educational, Devotional,Spiritual, Drama,Survival,Entertainment,Literature, Drama,Comedy, Comedy, Kids & Family,Action,Drama, Period Drama,History,Reality,Casual",14.2857,Hindi,71.4286,Video,100.0,"TV Channels, Movies, Shows",42.8571
948,8,0.010614,Adult,100.0,"Virār, Virār (Narayan Nagar)",25.0,MH,87.5,India,100.0,"Comedy,Animation,Kids, Entertainment,Movies, Music",12.5,NC,25.0,Video,87.5,TV Channels,37.5
949,3,0.00398,Adult,100.0,Oman Smart Future City,33.3333,BJ,33.3333,Oman,33.3333,NC,100.0,NC,100.0,NC,100.0,NC,100.0
950,17,0.022556,Adult,100.0,Raipur,35.2941,CT,82.3529,India,100.0,"Romance,Drama",29.4118,NC,100.0,Video,100.0,Movies,94.1176
951,27,0.035824,Adult,100.0,"Gharonda Neemka Bangar, Ghaziabad",7.4074,UP,18.5185,India,100.0,"Entertainment,Movies, Music,Biography,Drama",7.4074,Hindi,100.0,Video,96.2963,"Movies, Shows",37.037
952,18,0.023882,Adult,100.0,Pitampura,88.8889,DL,88.8889,India,100.0,News,50.0,NC,88.8889,Video,100.0,TV Channels,61.1111
953,19,0.025209,Adult,89.4737,S.A.S Nagar,15.7895,PB,21.0526,India,100.0,"Kids & Family,Comedy,Drama,Entertainment",26.3158,Hindi,89.4737,Video,100.0,Movies,42.1053
954,8,0.010614,Adult,87.5,Bājna,12.5,UP,25.0,India,100.0,"Travelogue,Spiritual,History,Food",12.5,Hindi,62.5,Video,100.0,Documentaries,87.5
955,2,0.002654,Adult,100.0,"Lucknow, Hyderabad (Gachibowli), Varanasi, Prayagraj",50.0,"UP, TG",100.0,India,100.0,"News, Action,Adventure,Thriller, Devotional, Music,Arts & Culture, Music,News, News & Music,Bollywood,Urban Talk, Entertainment,Educational,Infotainment, Cultural Stories,Bhajans, News,Music, Spiritual,Devotional, Entertainment",50.0,Hindi,50.0,"Audio, Video",50.0,"Radio Channels, TV Channels, Movies, Shows",50.0
956,13,0.017248,Adult,100.0,Nagpur,53.8462,MH,61.5385,India,100.0,Drama,38.4615,NC,92.3077,Video,100.0,Movies,92.3077
957,1,0.001327,Adult,100.0,"Mangaluru, Ghaziabad",100.0,"KA, UP",100.0,India,100.0,"Drama, Comedy,Drama, Political",100.0,Hindi,100.0,Video,100.0,"Movies, Shows",100.0
958,3,0.00398,Adult,100.0,Sayhāt,33.3333,04,33.3333,Kuwait,66.6667,Devotional,100.0,NC,100.0,\Upcoming,66.6667,Live,66.6667
959,37,0.049092,Adult,100.0,"Lucknow, Handiā, Faizabad, Prayagraj, Navi Mumbai (Reliance Corporate Park)",2.7027,"UP, MH",62.1622,India,97.2973,"News, Music,Biography,Drama",2.7027,Hindi,59.4595,Video,100.0,"Movies, Shows",24.3243
960,4,0.005307,Adult,100.0,Prayagraj,50.0,UP,50.0,India,100.0,"Music,Spiritual,Devotional, Spiritual,Devotional",25.0,Hindi,50.0,Video,75.0,TV Channels,75.0
961,19,0.025209,Adult,94.7368,Kolkata,10.5263,WB,21.0526,India,100.0,"Drama,Period Drama,Social Awareness",36.8421,Bengali,73.6842,Video,100.0,Movies,89.4737
962,5,0.006634,Adult,100.0,Mauganj,40.0,RJ,60.0,India,100.0,News,60.0,Hindi,80.0,Video,100.0,TV Channels,100.0
963,32,0.042458,Adult,100.0,Sri Ganganagar,87.5,RJ,100.0,India,100.0,"News, Entertainment,Educational,Infotainment, Arts & Culture,Music",3.125,Hindi,46.875,Video,65.625,"Radio Channels, TV Channels",25.0
964,13,0.017248,Adult,100.0,"Malegaon, Nashik, Navi Mumbai (Reliance Corporate Park)",7.6923,MH,46.1538,India,100.0,"Action,Drama,Political,Entertainment",61.5385,NC,100.0,Video,100.0,Shows,92.3077
965,32,0.042458,Adult,100.0,Ahmedabad,37.5,GJ,65.625,India,100.0,"Action,Crime,Thriller",28.125,NC,96.875,Video,100.0,Movies,90.625
966,2,0.002654,Guest,50.0,Sunnyvale,50.0,CA,50.0,United States,100.0,News,100.0,NC,100.0,Video,100.0,Shows,100.0
967,1,0.001327,Adult,100.0,Ahmednagar,100.0,MH,100.0,India,100.0,"Devotional,Educational,Spiritual, Music, Mythology,Spiritual, Spiritual, Devotional,Spiritual, Biography,Inspirational,Biographies,Patriotic, Animation,Kids,Fantasy, Mythology,Devotional,Spiritual,Religious",100.0,"Punjabi, Hindi, Marathi",100.0,Video,100.0,"TV Channels, Movies, Documentaries, Shows",100.0
968,19,0.025209,Adult,100.0,Chitradurga,15.7895,KA,42.1053,India,100.0,Music,78.9474,Hindi,94.7368,Video,94.7368,TV Channels,89.4737
969,10,0.013268,Child,100.0,Bhopal,10.0,MP,20.0,India,100.0,Devotional,90.0,NC,100.0,\Upcoming,100.0,Live,100.0
970,23,0.030517,Adult,100.0,"Lucknow, Khalīlābād, Navi Mumbai (Reliance Corporate Park)",4.3478,"UP, MH",34.7826,India,100.0,"Mystery,Drama,Crime,Comedy",30.4348,Hindi,100.0,Video,100.0,Shows,95.6522
971,35,0.046438,Adult,100.0,Begusarai,74.2857,BR,88.5714,India,100.0,News,40.0,Hindi,82.8571,Video,100.0,TV Channels,100.0
972,20,0.026536,Adult,100.0,Patna (Police Colony),95.0,BR,95.0,India,100.0,News,90.0,NC,100.0,Video,100.0,Shows,100.0
973,46,0.061033,Adult,97.8261,Siwān,4.3478,PB,13.0435,India,93.4783,"Entertainment, Music,Entertainment,Movies",4.3478,"Punjabi, Hindi",52.1739,Video,93.4783,TV Channels,54.3478
974,8,0.010614,Adult,100.0,National Capital Territory of Delhi (Bānkner),87.5,DL,100.0,India,100.0,News,50.0,Hindi,87.5,Video,100.0,TV Channels,50.0
975,4,0.005307,Adult,100.0,"Virār, Nashik, Pune, Umred, Navi Mumbai (Reliance Corporate Park)",25.0,"JK, MH",50.0,India,100.0,"Business,Arts & Culture,Fashion,Industrial design",50.0,NC,100.0,Video,100.0,Shows,100.0
976,12,0.015922,Adult,100.0,"Kurud, Narsimhapur, Jabalpur, Mandideep, Shāhpur",8.3333,UP,33.3333,India,100.0,News,100.0,NC,100.0,Video,100.0,TV Channels,100.0
977,30,0.039804,Adult,96.6667,Kanpur,20.0,UP,83.3333,India,100.0,"News, Music,Spiritual,Devotional, Spiritual,Devotional",26.6667,Hindi,73.3333,Video,100.0,TV Channels,83.3333
978,20,0.026536,Adult,100.0,Bareilly,85.0,UP,95.0,India,100.0,"Music,Biography,Drama",45.0,NC,100.0,Video,90.0,Movies,80.0
