Type,ID,Name,Display Name,Workspace,Duration,Create Date,Account
Media Asset,3685613,Shakthi E174,Shakthi E174,DD Podhigai (Chennai),1414400000,2025-10-29T07:06:44Z,208
Media Asset,3685612,Episode-55 WEB MEETING PART-1,Episode-55 WEB MEETING PART-1,DD National,1547800000,2025-10-29T07:06:09Z,208
Media Asset,3685611,Episode-54 THE FOLLOWER_PART-2,Episode-54 THE FOLLOWER_PART-2,DD National,1758200000,2025-10-29T07:05:04Z,208
Media Asset,3685608,Episode-53 THE FOLLOWER P-1,Episode-53 THE FOLLOWER P-1,DD National,1761320000,2025-10-29T07:02:58Z,208
Media Asset,3685607,Episode-52 CREDIT CARD P-II,Episode-52 CREDIT CARD P-II,DD National,1669840000,2025-10-29T06:59:49Z,208
Media Asset,3685605,SasuralJhunkiKa_Ep104,SasuralJhunkiKa_Ep104,DD Mumbai,1349000000,2025-10-29T06:44:07Z,208
Media Asset,3683357,ZWR_S1_EP7 OTT,ZWR_S1_EP7 OTT,Zindagi Live,1068067000,2025-10-29T09:31:34Z,208
Media Asset,3683353,FAUJI02_EP_144_MASTER OTT,FAUJI02_EP_144_MASTER OTT,Fauji2.0,1317000000,2025-10-29T09:29:01Z,208
Media Asset,3683352,FAUJI02_EP_145_MASTER OTT,FAUJI02_EP_145_MASTER OTT,Fauji2.0,1324000000,2025-10-29T09:29:01Z,208
Media Asset,3683351,FAUJI02_EP_143_MASTER OTT,FAUJI02_EP_143_MASTER OTT,Fauji2.0,1354000000,2025-10-29T09:28:01Z,208
Media Asset,3683344,FAUJI02_EP_141_MASTER OTT,FAUJI02_EP_141_MASTER OTT,Fauji2.0,1315000000,2025-10-29T09:27:01Z,208
Media Asset,3683322,SasuralJhunkiKa_Ep106,SasuralJhunkiKa_Ep106,DD Mumbai,1372000000,2025-10-29T09:04:42Z,208
Media Asset,3683317,Angel Has FalleN_Hindi,Angel Has FalleN_Hindi,Lions Gate,129265488,2025-10-29T07:48:53Z,208
Media Asset,3683303,2810 DECODE SOCIAL FULL WAVES,2810 DECODE SOCIAL FULL WAVES,Decode,3322160000,2025-10-29T04:52:21Z,208
Media Asset,3683288,Monster Hunt 2 Hindi,Monster Hunt 2 Hindi,Lions Gate,29416000,2025-10-28T12:42:51Z,208
Media Asset,3682235,EP 145 Birla Temple Delhi,EP 145 Birla Temple Delhi,Yatra,1298069333,2025-10-29T05:47:40Z,208
Media Asset,3682234,EP 143 Hatkoti Himachal,EP 143 Hatkoti Himachal,Yatra,1335786667,2025-10-29T05:46:39Z,208
Media Asset,3682233,EP 142 Shiva Temple Mauritius,EP 142 Shiva Temple Mauritius,Yatra,1195157333,2025-10-29T05:45:37Z,208
Media Asset,3682232,EP 134 Gayatri Mata Temple Manali,EP 134 Gayatri Mata Temple Manali,Yatra,1313024000,2025-10-29T05:45:37Z,208
Media Asset,3682231,EP 141 Shree Hanuman Jakhu Temple Shimla,EP 141 Shree Hanuman Jakhu Temple Shimla,Yatra,1266666667,2025-10-29T05:45:37Z,208
Media Asset,3682230,EP 70 Kunkeshwar Shiv Temple,EP 70 Kunkeshwar Shiv Temple,Yatra,1289194667,2025-10-29T05:45:36Z,208
Media Asset,3682229,EP 140 Sankat Mochan Temple Shimla,EP 140 Sankat Mochan Temple Shimla,Yatra,1223274667,2025-10-29T05:45:36Z,208
Media Asset,3682228,EP 133 Gurudwara Manikaran Sahib,EP 133 Gurudwara Manikaran Sahib,Yatra,1232192000,2025-10-29T05:45:36Z,208
Media Asset,3682227,EP 68 Battisputali Temple and Budhanilkantha Temple Kathmandu,EP 68 Battisputali Temple and Budhanilkantha Temple Kathmandu,Yatra,1293525333,2025-10-29T05:45:36Z,208
Media Asset,3682226,"EP 80 Shree Shantadurga Mandir, Kavalem Goa","EP 80 Shree Shantadurga Mandir, Kavalem Goa",Yatra,1269791667,2025-10-29T05:45:36Z,208
Media Asset,3682225,EP 128 Shri Guru Gobind Singh Ji,EP 128 Shri Guru Gobind Singh Ji,Yatra,1213738667,2025-10-29T05:45:36Z,208
Media Asset,3682224,EP 94 Ernakulam Temples (Kerala),EP 94 Ernakulam Temples (Kerala),Yatra,1272874667,2025-10-29T05:45:36Z,208
Media Asset,3682223,EP 102 Chandi Mandir Chandigarh,EP 102 Chandi Mandir Chandigarh,Yatra,1294656000,2025-10-29T05:44:35Z,208
Media Asset,3682222,Angel Has Fallen Hindi,Angel Has Fallen Hindi,Lions Gate,131920000,2025-10-28T12:32:48Z,208
Media Asset,3682188,SasuralJhunkiKa_Ep103,SasuralJhunkiKa_Ep103,DD Mumbai,1354000000,2025-10-28T10:26:02Z,208
Media Asset,3678515,2710 DECODE SOCIAL FULL WAVES,2710 DECODE SOCIAL FULL WAVES,Decode,3322480000,2025-10-28T07:13:10Z,208
Media Asset,3678500,SasuralJhunkiKa_Ep102,SasuralJhunkiKa_Ep102,DD Mumbai,1371000000,2025-10-28T06:46:43Z,208
Media Asset,3678482,Episode-51 CREDIT CARD P-I,Episode-51 CREDIT CARD P-I,DD National,1495760000,2025-10-28T05:29:46Z,208
Media Asset,3678481,Episode-50 CASH BACK P-II,Episode-50 CASH BACK P-II,DD National,1441880000,2025-10-28T05:28:43Z,208
Media Asset,3678480,Episode-49 CASH BACK P-I,Episode-49 CASH BACK P-I,DD National,1490960000,2025-10-28T05:27:40Z,208
Media Asset,3678479,Episode-48 PROBABILITY P-II,Episode-48 PROBABILITY P-II,DD National,1607840000,2025-10-28T05:25:34Z,208
Media Asset,3678478,Episode-47 PROBABILITY P-I,Episode-47 PROBABILITY P-I,DD National,1660560000,2025-10-28T05:24:31Z,208
Media Asset,3678477,MANN_KI_BAAT_27102025,MANN_KI_BAAT_27102025,DD News,1873960000,2025-10-28T05:21:29Z,208
Media Asset,3678476,MIL GAYI MANZIL MUJHEY EP-38,MIL GAYI MANZIL MUJHEY EP-38,DD Kisan,1422600000,2025-10-28T05:03:39Z,208
Media Asset,3678475,MIL GAYI MANZIL MUJHEY EP-37,MIL GAYI MANZIL MUJHEY EP-37,DD Kisan,1500480000,2025-10-28T04:46:43Z,208
Media Asset,3678474,MIL GAYI MANZIL MUJHEY EP-36,MIL GAYI MANZIL MUJHEY EP-36,DD Kisan,1464200000,2025-10-28T04:45:30Z,208
Media Asset,3678473,MIL GAYI MANZIL MUJHEY  EP-34,MIL GAYI MANZIL MUJHEY  EP-34,DD Kisan,1481000000,2025-10-28T04:43:32Z,208
Media Asset,3678472,MIL GAYI MANZIL MUJHEY EP-33,MIL GAYI MANZIL MUJHEY EP-33,DD Kisan,1478920000,2025-10-28T04:36:31Z,208
Media Asset,3678471,RAJNI_2 Ep -01,RAJNI_2 Ep -01,Lord Shiva Communications,1553160000,2025-10-27T11:01:02Z,208
Media Asset,3678470,SasuralJhunkiKa_Ep101,SasuralJhunkiKa_Ep101,DD Mumbai,1339000000,2025-10-27T10:59:53Z,208
Media Asset,3678444,SHAKTHI E173,SHAKTHI E173,DD Podhigai (Chennai),1433240000,2025-10-27T09:21:56Z,208
Media Asset,3678442,SHAKTHI E172,SHAKTHI E172,DD Podhigai (Chennai),1430880000,2025-10-27T09:14:55Z,208
Media Asset,3678440,SHAKTHI E171,SHAKTHI E171,DD Podhigai (Chennai),1433800000,2025-10-27T09:08:10Z,208
Media Asset,3678439,SasuralJhunkiKa_Ep100,SasuralJhunkiKa_Ep100,DD Mumbai,1380000000,2025-10-27T08:09:29Z,208
Media Asset,3678344,RAJNI_2 Ep-07,RAJNI_2 Ep-07,Lord Shiva Communications,1515840000,2025-10-27T11:07:04Z,208
Media Asset,3678343,RAJNI_2 Ep-06,RAJNI_2 Ep-06,Lord Shiva Communications,1536680000,2025-10-27T11:06:03Z,208
Media Asset,3678342,RAJNI_2 Ep-05,RAJNI_2 Ep-05,Lord Shiva Communications,1489880000,2025-10-27T11:05:04Z,208
Media Asset,3678341,RAJNI_2 Ep-04,RAJNI_2 Ep-04,Lord Shiva Communications,1479280000,2025-10-27T11:04:03Z,208
Media Asset,3678340,RAJNI_2 Ep-03,RAJNI_2 Ep-03,Lord Shiva Communications,1531120000,2025-10-27T11:03:03Z,208
Media Asset,3678339,RAJNI_2 Ep-02,RAJNI_2 Ep-02,Lord Shiva Communications,1577000000,2025-10-27T11:02:02Z,208
Media Asset,3676074,2610 SPL REKHA GUPTA DECODE SOCIAL FULL WAVES,2610 SPL REKHA GUPTA DECODE SOCIAL FULL WAVES,Decode,2696000000,2025-10-27T04:50:04Z,208
Media Asset,3676072,2510 DECODE SAT WEEKEND SOCIAL,2510 DECODE SAT WEEKEND SOCIAL,Decode,3510040000,2025-10-27T04:42:03Z,208
Media Asset,3676064,MIL GAYI MANZIL MUJHEY EP-52,MIL GAYI MANZIL MUJHEY EP-52,DD Kisan,1450600000,2025-10-25T07:35:50Z,208
Media Asset,3676063,MIL GAYI MANZIL MUJHEY EP-35,MIL GAYI MANZIL MUJHEY EP-35,DD Kisan,1489120000,2025-10-25T07:34:55Z,208
Media Asset,3676062,MIL GAYI MANZIL MUJHEY EP-32,MIL GAYI MANZIL MUJHEY EP-32,DD Kisan,1437800000,2025-10-25T07:33:58Z,208
Media Asset,3676061,MIL GAYI MANZIL MUJHEY EP-31,MIL GAYI MANZIL MUJHEY EP-31,DD Kisan,1470920000,2025-10-25T07:32:57Z,208
Media Asset,3676060,MIL GAYI MANZIL MUJHEY EP-30,MIL GAYI MANZIL MUJHEY EP-30,DD Kisan,1537720000,2025-10-25T07:31:50Z,208
Media Asset,3676059,MIL GAYI MANZIL MUJHEY EP-29,MIL GAYI MANZIL MUJHEY EP-29,DD Kisan,1484080000,2025-10-25T07:08:36Z,208
Media Asset,3674258,2410 DECODE SOCIAL FULL WAVES,2410 DECODE SOCIAL FULL WAVES,Decode,3409880000,2025-10-27T06:27:30Z,208
Media Asset,3674249,MKB 26 OCT 2025,MKB 26 OCT 2025,DD News,1873960000,2025-10-27T05:45:56Z,208
Media Asset,3671891,EP 144 Ballaleshwar Temple,EP 144 Ballaleshwar Temple,Yatra,1129109333,2025-10-24T10:01:22Z,208
Media Asset,3671882,EP 120 Bhagsunath Temple,EP 120 Bhagsunath Temple,Yatra,1316821333,2025-10-24T09:51:40Z,208
Media Asset,3671881,EP 110 Ayyappaswami (Sabarimala) Temple,EP 110 Ayyappaswami (Sabarimala) Temple,Yatra,1204416000,2025-10-24T09:51:40Z,208
Media Asset,3671872,EP 109 Akshardham Temple,EP 109 Akshardham Temple,Yatra,1246250667,2025-10-24T09:50:50Z,208
Media Asset,3671871,EP 115 Karni Mata Temple,EP 115 Karni Mata Temple,Yatra,1247957333,2025-10-24T09:50:09Z,208
